X,lam_lo,lam_hi,lam_mid,n_q,mu_emp,lam_mean,var_N,var_over_mu,under,P_N0,P_N1,P_N2,P_Nge3,m2_fact,m3_fact,m4_fact,kappa2F,kappa3F,kappa4F,S2,S3,S3_over_S2,Q,Q_2nd,Q_minus_Q2,rel_err_Q2,T,sign_k2_neg,sign_k3_pos,sign_k4_neg,sign_ok
20000000000,0.59460356,0.70710678,0.65085517,11223476,0.60833221,0.64768845,0.49799525,0.81862384,0.03379056,0.51046726,0.3814517,0.0977101,0.01037094,0.25973112,0.0684836,0.00835249,-0.11033696,0.044723845,-0.028955324,0.11033696,0.022361922,0.20266937,1.1253813,1.1075287,0.017852612,0.015863612,2.9739185,1,1,1,1
20000000000,0.70710678,0.84089642,0.7740016,9515033,0.7548513,0.77023947,0.61102391,0.80946262,0.03807917,0.43200134,0.4056977,0.13929757,0.02300339,0.42597309,0.16650053,0.03960302,-0.14382739,0.062090773,-0.04288823,0.14382739,0.031045387,0.2158517,1.1264285,1.1079443,0.018484193,0.016409557,2.9987568,1,1,1,1
20000000000,0.84089642,1,0.92044821,8069067,0.88554711,0.91596836,0.71712052,0.80980505,0.03891055,0.37357789,0.41161896,0.17470917,0.04009398,0.6157671,0.32045192,0.11683433,-0.16842659,0.073460501,-0.05096449,0.16842659,0.03673025,0.21807869,1.1201468,1.1032791,0.016867622,0.015058403,2.849761,1,1,1,1
20000000000,1,1.1892071,1.0946035,6841812,1.0647884,1.0892749,0.84988878,0.79817622,0.04136453,0.30343628,0.40829242,0.21877231,0.06949899,0.91887471,0.61985421,0.31119125,-0.21489961,0.099092318,-0.07296192,0.21489961,0.049546159,0.2305549,1.1164883,1.0999784,0.016509941,0.014787384,2.7629859,1,1,1,1
20000000000,1.1892071,1.4142136,1.3017104,5802947,1.2751974,1.2953785,1.000036,0.78422053,0.04249462,0.23688119,0.38827117,0.26117523,0.11367242,1.350967,1.1541084,0.76512848,-0.27516142,0.13312905,-0.10068302,0.27516142,0.066564524,0.24191081,1.1055734,1.0924835,0.013089918,0.011839935,2.5040962,1,1,1,1
20000000000,1.4142136,1.6817928,1.5480032,4921812,1.5043137,1.5404806,1.1740638,0.78046478,0.04021987,0.18194986,0.35440931,0.29046274,0.17317809,1.9327097,2.0781883,1.8216413,-0.33024983,0.16438528,-0.13163558,0.33024983,0.082192641,0.24888019,1.0963347,1.0833577,0.012977069,0.011836776,2.2849635,1,1,1,1
20000000000,1.6817928,2,1.8408964,4173809,1.8008095,1.8319671,1.3916414,0.77278656,0.03631065,0.12885448,0.30301219,0.30876497,0.25936836,2.8337468,3.8387367,4.3959501,-0.40916812,0.20936617,-0.16953283,0.40916812,0.10468308,0.2558437,1.0745927,1.0682704,0.0063222236,0.0058833675,1.7692632,1,1,1,1
20000000000,2,2.3784142,2.1892071,3541174,2.1539382,2.1785922,1.6579724,0.76974002,0.0302686,0.08575772,0.24236849,0.30356147,0.36831232,4.143484,7.0496519,10.502835,-0.49596577,0.26140252,-0.20573493,0.49596577,0.13070126,0.26352879,1.051996,1.0516944,0.00030161102,0.00028670358,1.2332937,1,1,1,1
20000000000,2.3784142,2.8284271,2.6034206,3003125,2.5572262,2.5907737,1.9418434,0.75935535,0.02446906,0.05305041,0.18067746,0.27698314,0.48928899,5.9240231,12.337944,22.894887,-0.61538281,0.33622278,-0.29879375,0.61538281,0.16811139,0.27318181,1.0258672,1.0282755,-0.0024082727,-0.0023475481,0.61354475,1,1,1,1
20000000000,2.8284271,3.3635857,3.0960064,2548082,3.0451548,3.0809248,2.2971123,0.75434995,0.01763897,0.02994998,0.12234614,0.22823716,0.61946672,8.524925,21.821717,50.768445,-0.74804242,0.41781081,-0.36793927,0.74804242,0.2089054,0.27926946,0.99099371,0.99916904,-0.0081753283,-0.0082496268,-0.2136202,1,1,1,1
20000000000,3.3635857,4,3.6817928,2162648,3.6414118,3.6639051,2.7226534,0.74769169,0.011703,0.0145123,0.07293975,0.16707065,0.7454773,12.341122,38.796522,112.65637,-0.91875845,0.54857124,-0.59493536,0.91875845,0.27428562,0.29853943,0.97178661,0.96933667,0.0024499436,0.0025210716,-0.66919324,1,1,1,1
