X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g,under,tilde_g,logX_g,var_N,var_over_mu,P_N0,P_N1,P_N2,P_Nge3
1000000000,3.2,3.8054628,153254,3.44311405,3.48571827,0.01672387,0.03196499,0.03063175,0.01390788,0.01524112,0.31584577,0.28821666,2.46406337,0.71564965,0.01672387,0.08288201,0.18734911,0.71304501
1000000000,3.8054628,4.5254834,130194,4.12078130,4.14550627,0.00737361,0.01623183,0.01583542,0.00846181,0.00885822,0.18357116,0.17535624,2.92796684,0.71053682,0.00737361,0.04414950,0.12171068,0.82676621
1000000000,4.5254834,5.3817371,110692,4.86556391,4.92948495,0.00308965,0.00770748,0.00723023,0.00414057,0.00461783,0.09569645,0.08580618,3.40977177,0.70079683,0.00308965,0.02093196,0.06975210,0.90622629
1000000000,5.3817371,6.4,94040,5.83923862,5.86234175,0.00096767,0.00291106,0.00284457,0.00187690,0.00194338,0.04027328,0.03889552,4.04216939,0.69224254,0.00096767,0.00697575,0.03111442,0.96094215
1000000000,6.4,7.6109255,80054,6.93900367,6.97211581,0.00023734,0.00096923,0.00093767,0.00070033,0.00073189,0.01516725,0.01451306,4.82905482,0.69592914,0.00023734,0.00243586,0.01204187,0.98528493
1000000000,7.6109255,8,20641,7.75156242,7.80199197,0.00000000,0.00043007,0.00040892,0.00040892,0.00043007,0.00891246,0.00847415,5.20439960,0.67140008,0.00000000,0.00092050,0.00469938,0.99438012
10000000000,0.2,0.23784142,16868926,0.23475110,0.21785321,0.77651411,0.79076764,0.80424349,0.02772938,0.01425354,0.32819983,0.63849258,0.20217344,0.86122468,0.77651411,0.21222068,0.01126521,0.00000000
10000000000,0.23784142,0.28284271,14298883,0.23644749,0.25907433,0.77502166,0.78942733,0.77176566,-0.00325600,0.01440568,0.33170296,-0.07497213,0.20347837,0.86056473,0.77502166,0.21350920,0.01146915,0.00000000
10000000000,0.28284271,0.33635857,12123507,0.23837739,0.30809311,0.77324985,0.78790528,0.73484689,-0.03840296,0.01465543,0.33745379,-0.88426078,0.20480810,0.85917587,0.77324985,0.21512290,0.01162725,0.00000000
10000000000,0.33635857,0.4,10278614,0.30043788,0.36638636,0.72284824,0.74049390,0.69323491,-0.02961332,0.01764567,0.40630648,-0.68187196,0.25754419,0.85722941,0.72284824,0.25426414,0.02248912,0.00039850
10000000000,0.4,0.47568285,8715582,0.39454118,0.43571517,0.65074576,0.67398921,0.64680193,-0.00394383,0.02324345,0.53520027,-0.09080996,0.33302958,0.84409333,0.65074576,0.30573609,0.04176921,0.00174894
10000000000,0.47568285,0.56568542,7389981,0.51446262,0.51815264,0.56701255,0.59782176,0.59561985,0.02860730,0.03080921,0.70940830,0.65870744,0.42317369,0.82255478,0.56701255,0.35664936,0.07128016,0.00505793
10000000000,0.56568542,0.67271713,6267166,0.55967546,0.61618808,0.53941734,0.57139448,0.53999895,0.00058161,0.03197714,0.73630080,0.01339217,0.46034318,0.82251807,0.53941734,0.36916048,0.08394033,0.00748185
10000000000,0.67271713,0.8,5315405,0.72096087,0.73278165,0.44816886,0.48628478,0.48057035,0.03240149,0.03811592,0.87765140,0.74607194,0.58252447,0.80798348,0.44816886,0.40312582,0.12938450,0.01932082
10000000000,0.8,0.95136569,4507604,0.81883879,0.87141870,0.40152152,0.44094339,0.41835760,0.01683608,0.03942187,0.90772205,0.38766517,0.65985038,0.80583674,0.40152152,0.41094959,0.15718306,0.03034583
10000000000,0.95136569,1.1313708,3824099,1.02948459,1.03630143,0.31491706,0.35719101,0.35476438,0.03984732,0.04227396,0.97339381,0.91751850,0.81818372,0.79475082,0.31491706,0.41144306,0.21140745,0.06223244
10000000000,1.1313708,1.3454343,3244020,1.20956067,1.23238839,0.25632549,0.29832832,0.29159530,0.03526982,0.04200283,0.96715092,0.81211755,0.95618204,0.79052012,0.25632549,0.39578979,0.24885173,0.09903299
10000000000,1.3454343,1.6,2751380,1.43383320,1.46556769,0.19648794,0.23839336,0.23094685,0.03445890,0.04190541,0.96490782,0.79344556,1.11549307,0.77797966,0.19648794,0.36626893,0.28383866,0.15340447
10000000000,1.6,1.9027314,2334699,1.70083296,1.74286029,0.14393162,0.18253142,0.17501908,0.03108746,0.03859980,0.88879334,0.71581528,1.31249523,0.77167791,0.14393162,0.32109407,0.30614310,0.22883121
10000000000,1.9027314,2.2627417,1981035,2.02913578,2.07260352,0.09754346,0.13144907,0.12585768,0.02831423,0.03390562,0.78070569,0.65195915,1.54578355,0.76179404,0.09754346,0.26322099,0.31001169,0.32922387
10000000000,2.2627417,2.6908685,1680826,2.44612827,2.46482748,0.06002703,0.08662834,0.08502351,0.02499648,0.02660131,0.61251768,0.57556511,1.85228005,0.75722932,0.06002703,0.19635286,0.28640978,0.45721032
10000000000,2.6908685,3.2,1426488,2.88013920,2.93114104,0.03550538,0.05612695,0.05333614,0.01783076,0.02062157,0.47482917,0.41056850,2.15356890,0.74773084,0.03550538,0.13940110,0.24641918,0.57867434
10000000000,3.2,3.8054628,1210658,3.46802978,3.48576994,0.01760282,0.03117840,0.03063017,0.01302734,0.01357557,0.31258915,0.29996562,2.57617518,0.74283537,0.01760282,0.08458293,0.18365633,0.71415792
10000000000,3.8054628,4.5254834,1027447,4.09586577,4.14539951,0.00826807,0.01664133,0.01583711,0.00756904,0.00837327,0.19280158,0.17428361,3.00839898,0.73449648,0.00826807,0.04744186,0.12442199,0.81986808
10000000000,4.5254834,5.3817371,872078,4.89987937,4.92953937,0.00312013,0.00744748,0.00722983,0.00410970,0.00432735,0.09964086,0.09462932,3.57236069,0.72907115,0.00312013,0.02175379,0.07034233,0.90478375
