X,lam_lo,lam_hi,lam_mid,width,n_q,mu_emp,lam_mean,P0_emp,under,g_lam,var_N,mu_minus_var,var_over_mu,Q,Q_lam,exp_m_mu
20000000000,0.80000000,0.95136569,0.87568285,0.15136569,8461515,0.82044728,0.87141485,0.40174862,0.03848608,0.01661059,0.66466226,0.15578502,0.81012184,1.12233810,0.48440106,0.44023470
20000000000,0.95136569,1.13137080,1.04136825,0.18000511,7175408,1.02350278,1.03630776,0.31807850,0.04125557,0.03668364,0.81791286,0.20558992,0.79913106,1.11689508,0.99312110,0.35933407
20000000000,1.13137080,1.34543430,1.23840255,0.21406350,6083826,1.22168122,1.23239001,0.25304668,0.04168755,0.03854815,0.96634769,0.25533353,0.79099823,1.10789329,1.02446022,0.29473424
20000000000,1.34543430,1.60000000,1.47271715,0.25456570,5160298,1.43246398,1.46556112,0.19825715,0.04046284,0.03269121,1.12451021,0.30795377,0.78501814,1.10080916,0.88937858,0.23872000
20000000000,1.60000000,1.90273140,1.75136570,0.30273140,4376336,1.69980390,1.74284275,0.14547786,0.03724149,0.02954429,1.32312457,0.37667933,0.77839836,1.08218300,0.85851368,0.18271935
20000000000,1.90273140,2.26274170,2.08273655,0.36001030,3712406,2.03444505,2.07259392,0.09842269,0.03233033,0.02743620,1.56691735,0.46752770,0.77019399,1.05774516,0.89762485,0.13075302
20000000000,2.26274170,2.69086850,2.47680510,0.42812680,3149495,2.44710977,2.46473906,0.06050653,0.02603683,0.02452450,1.86516106,0.58194871,0.76218937,1.03395030,0.97389406,0.08654336
20000000000,2.69086850,3.20000000,2.94543425,0.50913150,2671549,2.88992940,2.93111774,0.03598774,0.01959240,0.01734965,2.18632851,0.70360089,0.75653354,1.00200905,0.88730867,0.05558014
20000000000,3.20000000,3.80546280,3.50273140,0.60546280,2266916,3.45808667,3.48572305,0.01811712,0.01337283,0.01251448,2.59339060,0.86469607,0.74994957,0.98224040,0.91919421,0.03148996
20000000000,3.80546280,4.52548340,4.16547310,0.72002060,1923019,4.10597607,4.14517709,0.00837329,0.00810064,0.00746734,3.05142004,1.05455603,0.74316557,0.93257210,0.85966454,0.01647393
20000000000,4.52548340,5.38173710,4.95361025,0.85625370,1632217,4.90028164,4.92956083,0.00324773,0.00419676,0.00398195,3.60213847,1.29814317,0.73508805,0.86853398,0.82407831,0.00744449
20000000000,5.38173710,6.40000000,5.89086855,1.01826290,1385028,5.82303968,5.86223295,0.00105991,0.00189869,0.00178498,4.26499747,1.55804221,0.73243490,0.82379441,0.77445847,0.00295860
20000000000,6.40000000,7.61092550,7.00546275,1.21092550,1175463,6.93667942,6.97147476,0.00030031,0.00067118,0.00063796,5.02886096,1.90781846,0.72496661,0.72425842,0.68841130,0.00097149
20000000000,7.61092550,8.00000000,7.80546275,0.38907450,303646,7.76567121,7.80231837,0.00007245,0.00035159,0.00033633,5.50471208,2.26095913,0.70885207,0.73343554,0.70160237,0.00042404
