rank,label,form,digits,B,K_cert,n_kills,compression_ratio,q_mod_3,m0_note,wall_s,forb_s,walk_s,n_active_r,skipped_qmod0,reused,skipped,skip_reason,first_survivor,kill_table
38,3*2^18924988-1,Riesel,5696990,10000000,34,11,517908,2,m0=q-1 (not a 2-power sink),0.9775,0.9428,0.0347,664578,0,0,0,,"k=34, ε=-1 (class A)",2:B:5;4:A:17;8:B:13;10:A:7;14:B:2179;16:A:29;20:B:193;22:A:14633;26:B:11;28:A:5;32:B:5
39,69*2^18831865-1,Riesel,5668959,10000000,20,6,944826,2,m0=q-1 (not a 2-power sink),1.0298,0.9954,0.0344,664578,0,0,0,,"k=20, ε=+1 (class B)",2:B:5;4:A:109;8:B:67;10:A:277;14:B:11;16:A:7
40,2*3^11879700+1,GenPow,5668058,10000000,56,18,314892,1,m0=q+1 (not a 2-power sink),0.9544,0.9168,0.0377,664578,0,0,0,,"k=56, ε=-1 (class A)",2:A:5;4:B:13;8:A:191;10:B:31;14:A:19;16:B:7;20:A:25301;22:B:17;26:A:7;28:B:5;32:A:5;34:B:907;38:A:167;40:B:11;44:A:37;46:B:103;50:A:696889;52:B:173
41,97139*2^18397548-1,Riesel,5538219,10000000,34,11,503474,1,m0=q+1 (not a 2-power sink),1.0214,0.9564,0.0650,664578,0,0,0,,"k=34, ε=+1 (class B)",2:A:5;4:B:7090403;8:A:17;10:B:31;14:A:11;16:B:5011;20:A:7;22:B:7;26:A:764209;28:B:5;32:A:5
42,7*2^18233956+1,Proth,5488969,10000000,134,44,124749,2,m0=q-1 (not a 2-power sink),0.9829,0.9276,0.0553,664578,0,0,0,,"k=134, ε=+1 (class B)",2:B:31;4:A:153133;8:B:5;10:A:47;14:B:179;16:A:11;20:B:7;22:A:5;26:B:1951;28:A:3001;32:B:6869;34:A:23;38:B:5;40:A:181;44:B:59;46:A:1467919;50:B:11;52:A:5;56:B:8431;58:A:719;62:B:7;64:A:7;68:B:5;70:A:29;74:B:83891;76:A:4729;80:B:22147;82:A:5;86:B:53;88:A:3573509;92:B:41;94:A:13;98:B:5;100:A:32009;104:B:7;106:A:7;110:B:107;112:A:5;116:B:11;118:A:67;122:B:17;124:A:5189;128:B:5;130:A:19
43,3*2^18196595-1,Riesel,5477722,10000000,34,11,497975,2,m0=q-1 (not a 2-power sink),0.9843,0.9420,0.0423,664578,0,0,0,,"k=34, ε=-1 (class A)",2:B:12073;4:A:1210523;8:B:5;10:A:157051;14:B:11;16:A:7;20:B:47;22:A:5;26:B:7;28:A:13;32:B:197
44,4*3^11279466+1,GenPow,5381674,10000000,20,6,896946,1,m0=q+1 (not a 2-power sink),0.9496,0.9103,0.0393,664578,0,0,0,,"k=20, ε=-1 (class A)",2:A:5011;4:B:7;8:A:5;10:B:31;14:A:23;16:B:11
45,3*2^17748034-1,Riesel,5342692,10000000,8,2,2.67135e+06,2,m0=q-1 (not a 2-power sink),0.9376,0.9009,0.0367,664578,0,0,0,,"k=8, ε=+1 (class B)",2:B:2111;4:A:11
46,123447^1048576-123447^524288+1,GU,5338805,10000000,2,0,5.3388e+06,1,m0=q+1 (not a 2-power sink),1.0454,1.0092,0.0362,664578,0,0,0,,"k=2, ε=-1 (class A)",
47,31*2^17681433-1,Riesel,5322644,10000000,38,12,443554,1,m0=q+1 (not a 2-power sink),0.9733,0.9319,0.0414,664578,0,0,0,,"k=38, ε=-1 (class A)",2:A:19;4:B:5;8:A:79;10:B:7;14:A:457;16:B:1104781;20:A:11;22:B:17;26:A:5;28:B:12433;32:A:7;34:B:5
