source,ell,r,k,a,b,N,door,r_mod3,m0,m1,v2_door,exact_2_door,cof_primes,gold_primes,match_mod3_rule
germain,19,769387,20247,,,,m1,1,769388,769386,1,True,3;17;397,192347,True
germain,19,769463,20249,,,,m0,2,769462,769464,1,True,20249,19;20249,True
germain,19,769577,20252,,,,m0,2,769576,769578,3,False,61;83,19;61;83,True
germain,19,769729,20256,,,,m1,1,769730,769728,6,False,3;211,5;13;31;191,True
germain,19,769919,20261,,,,m0,2,769918,769920,1,True,20261,19;20261,True
germain,19,770261,20270,,,,m0,2,770260,770262,2,False,5;2027,5;19;2027,True
germain,19,770527,20277,,,,m1,1,770528,770526,1,True,3;751,11;199,True
germain,19,770641,20280,,,,m1,1,770642,770640,4,False,3;5;13,385321,True
germain,19,771401,20300,,,,m0,2,771400,771402,3,False,5;7;29,5;7;19;29,True
germain,19,771439,20301,,,,m1,1,771440,771438,1,True,3;67;101,5;9643,True
germain,19,771553,20304,,,,m1,1,771554,771552,5,False,3;47,7;7873,True
germain,19,771629,20306,,,,m0,2,771628,771630,2,False,11;13;71,11;13;19;71,True
germain,19,771781,20310,,,,m1,1,771782,771780,2,False,3;5;677,11;35081,True
germain,19,771971,20315,,,,m0,2,771970,771972,1,True,5;17;239,5;17;19;239,True
germain,19,772313,20324,,,,m0,2,772312,772314,3,False,5081,19;5081,True
germain,19,772921,20340,,,,m1,1,772922,772920,3,False,3;5;113,17;127;179,True
germain,19,773453,20354,,,,m0,2,773452,773454,2,False,10177,19;10177,True
germain,19,773491,20355,,,,m1,1,773492,773490,1,True,3;5;23;59,193373,True
germain,19,773567,20357,,,,m0,2,773566,773568,1,True,20357,19;20357,True
germain,19,773681,20360,,,,m0,2,773680,773682,4,False,5;509,5;19;509,True
germain,19,773719,20361,,,,m1,1,773720,773718,1,True,3;11;617,5;23;29,True
germain,19,773909,20366,,,,m0,2,773908,773910,2,False,17;599,17;19;599,True
germain,19,774023,20369,,,,m0,2,774022,774024,1,True,20369,19;20369,True
germain,19,774289,20376,,,,m1,1,774290,774288,4,False,3;283,5;11;7039,True
germain,19,774593,20384,,,,m0,2,774592,774594,6,False,7;13,7;13;19,True
germain,19,774821,20390,,,,m0,2,774820,774822,2,False,5;2039,5;19;2039,True
germain,19,775087,20397,,,,m1,1,775088,775086,1,True,3;13;523,193;251,True
germain,19,775163,20399,,,,m0,2,775162,775164,1,True,20399,19;20399,True
germain,19,776569,20436,,,,m1,1,776570,776568,3,False,3;13;131,5;79;983,True
germain,19,776683,20439,,,,m1,1,776684,776682,1,True,3;757,281;691,True
germain,19,776759,20441,,,,m0,2,776758,776760,1,True,20441,19;20441,True
germain,19,776987,20447,,,,m0,2,776986,776988,1,True,7;23;127,7;19;23;127,True
germain,19,777671,20465,,,,m0,2,777670,777672,1,True,5;4093,5;19;4093,True
germain,19,778013,20474,,,,m0,2,778012,778014,2,False,29;353,19;29;353,True
germain,19,778051,20475,,,,m1,1,778052,778050,1,True,3;5;7;13,11;17683,True
germain,19,778241,20480,,,,m0,2,778240,778242,13,False,5,5;19,True
germain,19,778469,20486,,,,m0,2,778468,778470,2,False,10243,19;10243,True
germain,19,778507,20487,,,,m1,1,778508,778506,1,True,3;6829,41;47;101,True
germain,19,778697,20492,,,,m0,2,778696,778698,3,False,47;109,19;47;109,True
germain,19,778963,20499,,,,m1,1,778964,778962,1,True,3;6833,23;8467,True
germain,19,779039,20501,,,,m0,2,779038,779040,1,True,13;83,13;19;83,True
germain,19,779267,20507,,,,m0,2,779266,779268,1,True,20507,19;20507,True
germain,19,779609,20516,,,,m0,2,779608,779610,3,False,23;223,19;23;223,True
germain,19,779761,20520,,,,m1,1,779762,779760,4,False,3;5,43;9067,True
